地點1,地點2,方位,里程,書籍出處,原文文句
,,,,,
康居國,都護治/烏壘城,西,5550里,漢書,東至都護治所五千五百五十里。
康居國,奄蔡國,東南,2000里,漢書,其康居西北可二千里，有奄蔡國。
蘇城,都護治/烏壘城,西,5776里,漢書,一曰蘇王，治蘇城，去都護五千七百七十六里，去陽關八千二十五里
蘇城,陽關,西,8025里,漢書,一曰蘇王，治蘇城，去都護五千七百七十六里，去陽關八千二十五里
附墨城,都護治/烏壘城,西,5767里,漢書,二曰附墨王，治附墨城，去都護五千七百六十七里，去陽關八千二十五里
附墨城,陽關,西,8025里,漢書,二曰附墨王，治附墨城，去都護五千七百六十七里，去陽關八千二十五里
窳匿城,都護治/烏壘城,西,5266里,漢書,三曰窳匿王，治窳匿城，去都護五千二百六十六里，去陽關七千五百二十五里
窳匿城,陽關,西,7525里,漢書,三曰窳匿王，治窳匿城，去都護五千二百六十六里，去陽關七千五百二十五里
罽城,都護治/烏壘城,西,6296里,漢書,四曰罽王，治罽城，去都護六千二百九十六里，去陽關八千五百五十五里
罽城,陽關,西,8555里,漢書,四曰罽王，治罽城，去都護六千二百九十六里，去陽關八千五百五十五里
奧鞬城,都護治/烏壘城,西,6906里,漢書,五曰奧鞬王，治奧鞬城，去都護六千九百六里，去陽關八千三百五十五里
奧鞬城,陽關,西,8355里,漢書,五曰奧鞬王，治奧鞬城，去都護六千九百六里，去陽關八千三百五十五里
,,,,,
大宛,都護治/烏壘城,西,4031里,漢書,東至都護治所四千三十一里
大宛,康居卑闐城,南,1510里,漢書,北至康居卑闐城千五百一十里
大宛,大月氏,東北,690里,漢書,西南至大月氏六百九十里
宛,安息國,東,--,漢書,自宛以西至安息國，雖頗異言，然大同，自相曉知也。
烏孫,安息,東,--,漢書,自烏孫以西至安息，近匈奴。
,,,,,
,,,,,
休循,都護治/烏壘城,西,3121里,漢書,東至都護治所三千一百二十一里
休循,捐毒,--,260里,漢書,至捐毒衍敦谷二百六十里
休循,大宛,東南,920里,漢書,西北至大宛國九百二十里
休循,大月氏,東,1610里,漢書,西至大月氏千六百一十里
,,,,,
捐毒,都護治/烏壘城,西,2861里,漢書,東至都護治所二千八百六十一里
捐毒,大宛,東南,1030里,漢書,西北至大宛千三十里
,,,,,
莎車,都護治/烏壘城,西南,4746里,漢書,東北至都護治所四千七百四十六里
莎車,疏勒,東,560里,漢書,西至疏勒五百六十里
莎車,蒲犂,東北,740里,漢書,西南至蒲犂七百四十里
,,,,,
疏勒,都護治/烏壘城,西,2210里,漢書,東至都護治所二千二百一十里
疏勒,莎車,北,560里,漢書,南至莎車五百六十里
,,,,,
尉頭,都護治/烏壘城,西,1411里,漢書,東至都護治所千四百一十一里
尉頭,疏勒,北,--,漢書,南與疏勒接
尉頭,捐毒,東,1314里,漢書,西至捐毒千三百一十四里
,,,,,
烏孫,都護治/烏壘城,西,1721里,漢書,東至都護治所千七百二十一里
烏孫,康居,東,5000里,漢書,西至康居蕃內地五千里
烏孫,匈奴,西,--,漢書,東與匈奴、
烏孫,康居,東南,--,漢書,西北與康居、
烏孫,大宛,東,--,漢書,西與大宛、
烏孫,城郭諸國,北,--,漢書,南與城郭諸國相接。
,,,,,
姑墨國,都護治/烏壘城,西,2021里,漢書,東至都護治所二千二十一里
姑墨國,于闐,北,馬行十五日,漢書,南至于闐馬行十五日
姑墨國,烏孫,南,--,漢書,北與烏孫接
姑墨國,龜茲,西,670里,漢書,東通龜茲六百七十里
,,,,,
溫宿國,都護治/烏壘城,西,2380里,漢書,東至都護治所二千三百八十里
溫宿國,尉頭,東,300里,漢書,西至尉頭三百里
溫宿國,烏孫赤谷,南,610里,漢書,北至烏孫赤谷六百一十里
溫宿國,姑墨,西,270里,漢書,東通姑墨二百七十里
,,,,,
龜茲國,都護治/烏壘城,西,350里,漢書,東至都護治所烏壘城三百五十里
都護治/烏壘城,渠犂,北,330里,漢書,其南三百三十里至渠犂
渠犂,龜茲,東,580里,漢書,西有河，至龜茲五百八十里
,,,,,
溫宿,都護治/烏壘城,西,2380里,漢書,東至都護治所二千三百八十里
溫宿,尉頭,東,300里,漢書,西至尉頭三百里
溫宿,烏孫赤谷,南,610里,漢書,北至烏孫赤谷六百一十里
溫宿,姑墨,西,270里,漢書,東通姑墨二百七十里
,,,,,
龜茲,都護治/烏壘城,西,350里,漢書,東至都護治所烏壘城三百五十里
都護治/烏壘城,渠犂,北,330里,漢書,其南三百三十里至渠犂
渠犂,龜茲,東,580里,漢書,西有河，至龜茲五百八十里
,,,,,
尉犁,都護治/烏壘城,東,300里,漢書,西至都護治所三百里
,,,,,
危須,都護治/烏壘城,東,500里,漢書,西至都護治所五百里
,,,,,
焉耆,都護治/烏壘城,東北,400里,漢書,西南至都護治所四百里
焉耆,尉犁,北,100里,漢書,南至尉犂百里
,,,,,
,,,,,
卑陸,都護治/烏壘城,東北,1287里,漢書,西南至都護治所千二百八十七里
,,,,,
,,,,,
,,,,,
,,,,,
蒲類,都護治/烏壘城,東北,1387里,漢書,西南至都護治所千三百八十七里
,,,,,
,,,,,
西且彌,都護治/烏壘城,東北,1487里,漢書,西南至都護治所千四百八十七里
,,,,,
東且彌,都護治/烏壘城,東北,1587里,漢書,西南至都護治所千五百八十七里
,,,,,
劫國,都護治/烏壘城,東北,1487里,漢書,西南至都護治所千四百八十七里。
,,,,,
狐胡國,都護治/烏壘城,東,1147里,漢書,西至都護治所千一百四十七里。
狐胡國,焉耆,--,770里,漢書,至焉耆七百七十里。
,,,,,
山國,尉犂,東,240里,漢書,西至尉犂二百四十里。
山國,焉耆,東南,160里,漢書,西北至焉耆百六十里。
山國,危須,東,260里,漢書,西至危須二百六十里。
,,,,,
車師前國,都護治/烏壘城,東北,1807里,漢書,西南至都護治所千八百七里。
車師前國,焉耆,--,835里,漢書,至焉耆八百三十五里。
,,,,,
車師後國,都護治/烏壘城,東北,1237里,漢書,西南至都護治所千二百三十七里。
渠犂,車師,--,千餘里,漢書,「車師去渠犂千餘里，間以河山」
車師,匈奴,南,--,漢書,「車師去渠犂千餘里，間以河山，北近匈奴」
