地點1,地點2,方位,里程,書籍出處,原文文句
烏弋山離,撲挑,南,--,漢書,北與撲挑接
烏弋山離,犂靬,東,--,漢書,西與犂靬接
烏弋山離,條支,北,可百餘日,漢書,行可百餘日，乃至條支
條支,西海,東,--,漢書,國臨西海
條支,日所入處,西,可百餘日,漢書,自條支乘水西行，可百餘日，近日所入云
長安,番兜城,--,11600里,漢書,去長安萬一千六百里
安息國,康居,北,--,漢書,北與康居接
安息國,烏弋山離,東,--,漢書,東與烏弋山離接
安息國,條支,西,--,漢書,西與條支接
玉門、陽關,烏弋山離,南,--,漢書,自玉門、陽關出南道，至烏弋山離
安息東界,安息王都,西,數千里,漢書,東界去王都數千里
大月氏國,長安,--,11600里,漢書,大月氏國，治監氏城，去長安萬一千六百里
大月氏國,都護治/烏壘城,西,4740里,漢書,東至都護治所四千七百四十里
大月氏國,安息,東,四十九日行,漢書,西至安息四十九日行
休密翎侯,都護治/烏壘城,西,2841里,漢書,去都護二千八百四十一里
休密翎侯,陽關,西,7802里,漢書,去陽關七千八百二里
雙靡翎侯,都護治/烏壘城,西,3741里,漢書,去都護三千七百四十一里
雙靡翎侯,陽關,西,7782里,漢書,去陽關七千七百八十二里
貴霜翎侯,都護治/烏壘城,西,5940里,漢書,去都護五千九百四十里
貴霜翎侯,陽關,西,7982里,漢書,去陽關七千九百八十二里
肸頓翎侯,都護治/烏壘城,西,5962里,漢書,去都護五千九百六十二里
肸頓翎侯,陽關,西,8202里,漢書,去陽關八千二百二里
高附翎侯,都護治/烏壘城,西,6041里,漢書,去都護六千四十一里
高附翎侯,陽關,西,9283里,漢書,去陽關九千二百八十三里
康居國,長安,西,12300里,漢書,康居國，王冬治樂越匿地。到卑闐城。去長安萬二千三百里。
康居國,越匿地,東,馬行七日,漢書,至越匿地馬行七日，至王夏所居蕃內九千一百四里。
康居國,王夏所居,--,9104里,漢書,至越匿地馬行七日，至王夏所居蕃內九千一百四里。
康居國,都護治/烏壘城,西,5550里,漢書,東至都護治所五千五百五十里。
康居國,奄蔡國,西北,2000里,漢書,其康居西北可二千里，有奄蔡國。
蘇城,都護治/烏壘城,西,5776里,漢書,一曰蘇王，治蘇城，去都護五千七百七十六里，去陽關八千二十五里
蘇城,陽關,西,8025里,漢書,一曰蘇王，治蘇城，去都護五千七百七十六里，去陽關八千二十五里
附墨城,都護治/烏壘城,西,5767里,漢書,二曰附墨王，治附墨城，去都護五千七百六十七里，去陽關八千二十五里
附墨城,陽關,西,8025里,漢書,二曰附墨王，治附墨城，去都護五千七百六十七里，去陽關八千二十五里
窳匿城,都護治/烏壘城,西,5266里,漢書,三曰窳匿王，治窳匿城，去都護五千二百六十六里，去陽關七千五百二十五里
窳匿城,陽關,西,7525里,漢書,三曰窳匿王，治窳匿城，去都護五千二百六十六里，去陽關七千五百二十五里
罽城,都護治/烏壘城,西,6296里,漢書,四曰罽王，治罽城，去都護六千二百九十六里，去陽關八千五百五十五里
罽城,陽關,西,8555里,漢書,四曰罽王，治罽城，去都護六千二百九十六里，去陽關八千五百五十五里
奧鞬城,都護治/烏壘城,西,6906里,漢書,五曰奧鞬王，治奧鞬城，去都護六千九百六里，去陽關八千三百五十五里
奧鞬城,陽關,西,8355里,漢書,五曰奧鞬王，治奧鞬城，去都護六千九百六里，去陽關八千三百五十五里
大宛,長安,--,14550里,漢書,大宛國大宛國，王治貴山城，去長安萬二千（二）〔五〕百五十里。
大宛,都護治/烏壘城,東,4031里,漢書,東至都護治所四千三十一里
大宛,康居卑闐城,北,1510里,漢書,北至康居卑闐城千五百一十里
大宛,大月氏,西南,690里,漢書,西南至大月氏六百九十里
宛,安息國,西,--,漢書,自宛以西至安息國，雖頗異言，然大同，自相曉知也。
烏孫,安息,西,--,漢書,自烏孫以西至安息，近匈奴。
桃槐,長安,--,11080里,漢書,王去長安萬一千八十里
休循,長安,西,10210里,漢書,去長安萬二百一十里
休循,都護治/烏壘城,東,3121里,漢書,東至都護治所三千一百二十一里
休循,捐毒,--,260里,漢書,至捐毒衍敦谷二百六十里
休循,大宛,西北,920里,漢書,西北至大宛國九百二十里
休循,大月氏,西,1610里,漢書,西至大月氏千六百一十里
捐毒,長安,--,9860里,漢書,去長安九千八百六十里
捐毒,都護治/烏壘城,東,2861里,漢書,東至都護治所二千八百六十一里
捐毒,大宛,西北,1030里,漢書,西北至大宛千三十里
莎車,長安,--,9950里,漢書,去長安九千九百五十里
莎車,都護治/烏壘城,東北,4746里,漢書,東北至都護治所四千七百四十六里
莎車,疏勒,西,560里,漢書,西至疏勒五百六十里
莎車,蒲犂,西南,740里,漢書,西南至蒲犂七百四十里
疏勒,長安,--,9350里,漢書,去長安九千三百五十里
疏勒,都護治/烏壘城,東,2210里,漢書,東至都護治所二千二百一十里
疏勒,莎車,南,560里,漢書,南至莎車五百六十里
尉頭,長安,--,8650里,漢書,去長安八千六百五十里
尉頭,都護治/烏壘城,東,1411里,漢書,東至都護治所千四百一十一里
尉頭,疏勒,南,--,漢書,南與疏勒接
尉頭,捐毒,西,1314里,漢書,西至捐毒千三百一十四里
烏孫,長安,--,8900里,漢書,去長安八千九百里
烏孫,都護治/烏壘城,西,1721里,漢書,東至都護治所千七百二十一里
烏孫,康居,東,5000里,漢書,西至康居蕃內地五千里
烏孫,匈奴,東,--,漢書,東與匈奴、
烏孫,康居,西北,--,漢書,西北與康居、
烏孫,大宛,西,--,漢書,西與大宛、
烏孫,城郭諸國,南,--,漢書,南與城郭諸國相接。
姑墨國,長安,--,8150里,漢書,姑墨國，王治南城，去長安八千一百五十里
姑墨國,都護治/烏壘城,西,2021里,漢書,東至都護治所二千二十一里
姑墨國,于闐,北,馬行十五日,漢書,南至于闐馬行十五日
姑墨國,烏孫,南,--,漢書,北與烏孫接
姑墨國,龜茲,西,670里,漢書,東通龜茲六百七十里
長安,溫宿國,--,8350里,漢書,去長安八千三百五十里
溫宿國,都護治/烏壘城,東,2380里,漢書,東至都護治所二千三百八十里
溫宿國,尉頭,西,300里,漢書,西至尉頭三百里
溫宿國,烏孫赤谷,北,610里,漢書,北至烏孫赤谷六百一十里
溫宿國,姑墨,東,270里,漢書,東通姑墨二百七十里
長安,龜茲國,--,7480里,漢書,去長安七千四百八十里
龜茲國,都護治/烏壘城,東,350里,漢書,東至都護治所烏壘城三百五十里
都護治/烏壘城,渠犂,南,330里,漢書,其南三百三十里至渠犂
渠犂,龜茲,西,580里,漢書,西有河，至龜茲五百八十里
溫宿,長安,東,8350里,漢書,去長安八千三百五十里
溫宿,都護治/烏壘城,西,2380里,漢書,東至都護治所二千三百八十里
溫宿,尉頭,東,300里,漢書,西至尉頭三百里
溫宿,烏孫赤谷,南,610里,漢書,北至烏孫赤谷六百一十里
溫宿,姑墨,西,270里,漢書,東通姑墨二百七十里
龜茲,長安,東,7480里,漢書,去長安七千四百八十里
龜茲,都護治/烏壘城,西,350里,漢書,東至都護治所烏壘城三百五十里
都護治/烏壘城,渠犂,北,330里,漢書,其南三百三十里至渠犂
渠犂,龜茲,東,580里,漢書,西有河，至龜茲五百八十里
尉犁,長安,--,6750里,漢書,去長安六千七百五十里
尉犁,都護治/烏壘城,西,300里,漢書,西至都護治所三百里
危須,長安,--,7290里,漢書,去長安七千二百九十里
危須,都護治/烏壘城,西,500里,漢書,西至都護治所五百里
焉耆,長安,--,7300里,漢書,去長安七千三百里
焉耆,都護治/烏壘城,西南,400里,漢書,西南至都護治所四百里
焉耆,尉犁,南,100里,漢書,南至尉犂百里
烏貪訾離,長安,--,10330里,漢書,去長安萬三百三十里
卑陸,長安,--,8680里,漢書,去長安八千六百八十里
卑陸,都護治/烏壘城,西南,1287里,漢書,西南至都護治所千二百八十七里
卑陸後,長安,--,8710里,漢書,去長安八千七百一十里
郁立師,長安,--,8830里,漢書,去長安八千八百三十里
單桓,長安,--,8870里,漢書,去長安八千八百七十里
蒲類,長安,--,8360里,漢書,去長安八千三百六十里
蒲類,都護治/烏壘城,西南,1387里,漢書,西南至都護治所千三百八十七里
蒲類後,長安,--,8630里,漢書,王去長安八千六百三十里
西且彌,長安,--,8670里,漢書,去長安八千六百七十里
西且彌,都護治/烏壘城,西南,1487里,漢書,西南至都護治所千四百八十七里
東且彌,長安,--,8250里,漢書,去長安八千二百五十里
東且彌,都護治/烏壘城,西南,1587里,漢書,西南至都護治所千五百八十七里
劫國,長安,--,8570里,漢書,劫國劫國，王治天山東丹渠谷，去長安八千五百七十里。
劫國,都護治/烏壘城,西南,1487里,漢書,西南至都護治所千四百八十七里。
狐胡國,長安,--,8200里,漢書,狐胡國狐胡國，王治車師柳谷，去長安八千二百里。
狐胡國,都護治/烏壘城,西,1147里,漢書,西至都護治所千一百四十七里。
狐胡國,焉耆,--,770里,漢書,至焉耆七百七十里。
山國,長安,--,7170里,漢書,山國山國，王去長安七千一百七十里。
山國,尉犂,西,240里,漢書,西至尉犂二百四十里。
山國,焉耆,西北,160里,漢書,西北至焉耆百六十里。
山國,危須,西,260里,漢書,西至危須二百六十里。
車師前國,長安,--,8150里,漢書,車師前國車師前國，王治交河城。河水分流繞城下，故號交河。去長安八千一百五十里。
車師前國,都護治/烏壘城,西南,1807里,漢書,西南至都護治所千八百七里。
車師前國,焉耆,--,835里,漢書,至焉耆八百三十五里。
車師後國,長安,--,8950里,漢書,車師後國，王治務塗谷，去長安八千九百五十里。
車師後國,都護治/烏壘城,西南,1237里,漢書,西南至都護治所千二百三十七里。
渠犂,車師,--,千餘里,漢書,「車師去渠犂千餘里，間以河山」
車師,匈奴,北,--,漢書,「車師去渠犂千餘里，間以河山，北近匈奴」
張掖,車師,北,千餘里,漢書,「詔遣長羅侯三師古曰：「常惠也。」將張掖、酒泉騎出車師北千餘里，揚威武車師旁。」
玉門關,唐兜,東,--,漢書,「唐兜困急，怨欽，東守玉門關。」
